Title, Birthyear, occupationgroup
Amy_Jo_Martin,"['1969', '1979']",other
Amy_Johnson,1903,other
Amy_Khor,,other
Amy_Klobuchar,,office holder
Amy_Koch,1971,office holder
Amy_L._Alexander,1963,other
Amy_Loudenbeck,1969,office holder
Amy_Mainzer,1973,academic
Amy_Nuttall,1982,other
Amy_Pascal,1958,other
Amy_Paulin,,office holder
Amy_Peikoff,,author
Amy_Poehler,1971,other
Amy_Rice,1966,office holder
Amy_Richter,,other
Amy_Robach,1973,other
Amy_Rosenzweig,,academic
Amy_S._Bruckman,1965,academic
Amy_Sarkisian,1969,other
Amy_Sewell,1963,other
Amy_Sheldon,1966,office holder
Amy_Stephens,,office holder
Amy_Stoch,1958,other
Amy_Sue_Vruwink,1975,office holder
Amy_Suiter,,other
Amy_Tan,,author
Amy_Totenberg,1950,office holder
Amy_Tuck,,office holder
Amy_Vermeulen,1983,athlete
Amy_Volk,,office holder
Amy_Wagers,,academic
Amy_Webb,1977,other
Amy_Welborn,1960,author
Amy_Zegart,1967,other
Amyas_Borton,1886,other
Amé_Pictet,1857,academic
Amédée_Borrel,1867,academic
Amédée_E._Forget,,office holder
Amédée_Geoffrion,1867,other
An_Byeong-hun,1991,athlete
An_Byong-jun,,athlete
An_Dong-hyeok,1988,athlete
An_Ik-soo,1965,other
An_Jae-jun,1986,athlete
An_Jun_Can,1983,other
An_Le,1954,office holder
An_Sun-jin,,athlete
An_Sung-bin,1988,athlete
An_Sung-min,1985,athlete
An_Yong-hak,,athlete
An_Yong-woo,1991,athlete
Ana_Alicia,1956,other
Ana_Aslan,,academic
Ana_Botella,,office holder
Ana_Boulter,1976,other
Ana_Cukic,,other
Ana_Galvis_Hotz,1855,other
Ana_Gasteyer,1967,other
Ana_Guțu,1962,other
Ana_Irene_Delgado,1982,office holder
Ana_Jara,1968,office holder
Ana_Kasparian,1986,other
Ana_Lovrin,,office holder
Ana_Lya_Uriarte,1962,other
Ana_Lía_Piñeyrúa,1954,office holder
Ana_Majhenić,1981,other
Ana_Mari_Cauce,,office holder
Ana_Maria_Machado,,author
Ana_Marie_Cox,1972,other
Ana_Mato,,office holder
Ana_Milena_Muñoz_Gómez,1956,office holder
Ana_Paola_Agudelo_García,1983,office holder
Ana_Pastor_García,1977,other
Ana_Pastor_Julián,1957,office holder
Ana_Patricia_Botín,1960,other
Ana_Paula_dos_Santos,1963,office holder
Ana_Pešikan,,office holder
Ana_Rosa_Núñez,,author
Ana_Tereza_Basilio,1967,office holder
Anabel_Ford,1951,academic
Anabel_Jensen,,author
Anadi_Sankar_Gupta,1932,academic
Anagarika_Dharmapala,1864,other
Analisa_Torres,1959,office holder
Analjit_Singh,"['1954', '1959']",other
Anand_Ahirwar,1964,other
Anand_Chandrasekaran,,other
Anand_Giridharadas,1981,author
Anand_Kumar_(sociologist),,other
Anand_Lal_Shimpi,,author
Anand_Mahindra,1955,other
Anand_Mohan,1957,academic
Anand_Neelakantan,1973,author
Anand_Panyarachun,,other
Anand_Patwardhan,1950,other
Anand_Prakash,"['1993', '0027']",other
Anand_Ramlogan,1972,office holder
Anand_Reddi,,academic
Anand_Satyanand,,other
Anand_Sharma,1953,office holder
Anand_Veeravagu,,other
Ananda_Mohan_Chakrabarty,1938,academic
Ananda_Omesh,1986,other
Ananda_Weerakoon,1934,other
Ananga_Kumar_Patnaik,1949,other
Anant_Gupta,1965,other
Anant_J_Talaulicar,,other
Ananta_Charan_Sukla,1942,other
Ananta_Mandal,,other
Ananth_Kumar,,office holder
Anantha_Babbili,,other
Ananthi_Sasitharan,,office holder
Anantram_Jaiswal,1928,office holder
Anar_Mammadkhanov,,office holder
Anar_Rzayev,1938,author
