Title,Birthyear,Occupational_group
Amit_Shah,,office_holder
Amit_Shumovich,1992,athlete
Amit_Singhal,,academic
Amit_Subhashrao_Zanak,,politician
Amitabh_Rajan,1955,other
Amitabha_Chattopadhyay,1956,academic
Amitav_Ghosh,,author/journalist
Amitava_Bose,,academic
Amitava_Datta,,academic
Amitava_Kumar,1963,other
Amitava_Raychaudhuri,1952,academic
Amitava_Roy,1953,judiciary
Amity_Gaige,1972,author/journalist
Amity_Shlaes,1960,author/journalist
Amjad_Bashir,1952,office_holder
"Amjad_Hossain,_MNA",,office_holder
Amjad_Islam_Amjad,1944,artist
Amjad_Mohammed_Khan,1970,other
Amjad_Nasser,1955,author/journalist
Amjed_Bedewi,1954,office_holder
Amlan_Das,,actor
Ammar_Abo_Bakr,,office_holder
Ammar_Aziz,,actor
Ammar_Aziz,,royalty
Ammar_al-Qurabi,1970,other
Amna_Buttar,1962,office_holder
Amna_Buttar,1962,medical_field
Amnon_Albeck,,academic
Amnon_Lipkin-Shahak,,office_holder
Amnon_Shashua,,academic
Amod_Prasad_Upadhyay,,office_holder
Amos_Allen_(gridiron_football),1983,athlete
Amos_Alonzo_Stagg,,athlete
"Amos_Alonzo_Stagg,_Jr.",1899,athlete
Amos_Bairoch,,academic
Amos_Binney,1803,academic
Amos_Eaton,,academic
Amos_Foster,1880,athlete
Amos_Fowler,1956,athlete
Amos_Kendall,,office_holder
Amos_L._Mazzant_III,1965,office_holder
Amos_Magee,1971,athlete
Amos_N._Wilson,1941,academic
Amos_Nourse,,politician
Amos_Oz,,author/journalist
Amos_Pinchot,1873,other
Amos_R._Webber,1852,office_holder
Amos_Smith,1944,academic
Amos_T._Akerman,,office_holder
Amos_Tuck,,politician
Amos_Tversky,,academic
Amos_W._Marston,,athlete
Amos_W._Marston,,judiciary
Amos_Wako,,office_holder
Amos_de-Shalit,1926,academic
Amotz_Zahavi,,academic
Ampareen_Lyngdoh,,office_holder
Amparo_Noguera,1965,actor
Ampasayya_Naveen,1941,author/journalist
Amr_Al-Dabbagh,,author/journalist
Amr_Aly,1962,athlete
Amr_Darrag,1958,office_holder
Amr_Moussa,,office_holder
Amr_Saad,1971,actor
Amr_Sobhy,1988,author/journalist
Amrin_Amin,,politician
Amrit_Abhijat,1968,other
Amrit_Lugun,1974,other
Amrullah_Saleh,1972,office_holder
Amruta_Patki,,other
Amy_Adams_(politician),1971,office_holder
Amy_Anderson_(golfer),1992,athlete
Amy_Aquino,1957,actor
Amy_Balkin,,artist
Amy_Berman_Jackson,,office_holder
Amy_Biehl,1967,academic
Amy_Carter_(Georgia_politician),,office_holder
Amy_Chua,1962,judiciary
Amy_Crain,,royalty
Amy_Cuddy,1972,academic
Amy_Dahl,,athlete
Amy_Duncan_(singer),,other
Amy_Finkelstein,1973,academic
Amy_Finkelstein,1973,medical_field
Amy_Foxx-Orenstein,,other
Amy_Franceschini,1970,artist
Amy_Freeze,,other
Amy_Fruhwirth,1968,athlete
Amy_Garnett,1976,athlete
Amy_Gutierrez,,athlete
Amy_Gutmann,,office_holder
Amy_Halberstadt,1954,academic
Amy_Handlin,,office_holder
Amy_Hennig,,author/journalist
Amy_Holmes,1973,actor
Amy_Holmes,1973,politician
Amy_Hood,0008,military
Amy_Hung,1980,athlete
Amy_J._St._Eve,1965,judiciary
Amy_Jacot_Guillarmod,,academic
Amy_Jenkins_(artist),1966,artist
Amy_Jenkins_(artist),1966,medical_field
Amy_Johnson,1903,other
Amy_Khor,,politician
Amy_Klobuchar,,office_holder
Amy_Koch,1971,office_holder
Amy_Koch,1971,business_person
Amy_L._Alexander,1963,author/journalist
Amy_Loudenbeck,1969,office_holder
Amy_Mainzer,1973,academic
Amy_Paulin,,office_holder
Amy_Peikoff,,author/journalist
Amy_Rice,1966,office_holder
Amy_Richter,,religious_figure
Amy_Rosenzweig,,academic
Amy_S._Bruckman,1965,academic
Amy_Sarkisian,1969,artist
Amy_Sheldon,1966,office_holder
Amy_Stephens,,office_holder
Amy_Sue_Vruwink,1975,office_holder
Amy_Suiter,,athlete
Amy_Tan,,author/journalist
Amy_Totenberg,1950,office_holder
Amy_Tuck,,office_holder
Amy_Vermeulen,1983,athlete
Amy_Volk,,office_holder
Amy_Wagers,,academic
