Title,Birthyear,Occupational_group
Antonio_Harvey,,athlete
Antonio_Lang,,athlete
Antonio_Langham,1972,athlete
Antonio_Latimer,1978,athlete
Antonio_Martínez_(footballer),,athlete
Albena_Branzova,1971,athlete
Albert_Anderson_(rugby),1961,athlete
Albert_B._Cowden,1879,athlete
Albert_Barron,1888,athlete
Albert_Berg,1864,athlete
Albert_Bimper,1983,athlete
Albert_E._Herrnstein,1882,athlete
Albert_Edward_(soccer),1991,athlete
Albert_Elliott,1869,athlete
Albert_Elmore,1904,athlete
Albert_Exendine,1884,athlete
Albert_Graff,,athlete
Albert_Hansen,1871,athlete
Albert_I._Prettyman,,athlete
Albert_J._Gebert,1906,athlete
Albert_Jenkin,1872,athlete
Albert_Journeay,1890,athlete
Albert_Kawal,1912,athlete
Albert_Luvian_Wade,1884,athlete
Albert_Marshall_(American_football),,athlete
Albert_McLeland,,athlete
Albert_Pitt_(footballer),1880,athlete
Albert_Sharpe_(American_football),1877,athlete
Albert_Simmonds,1875,athlete
Albert_Wittmer,1897,athlete
Albertin_Montoya,1975,athlete
Alberto_Liñán,1990,athlete
Alberto_Mestre,1964,athlete
Alberto_Reynoso,1940,athlete
Albie_Reisz,1917,athlete
Alby_Mathewson,1985,athlete
Alcardo_van_Graan,1986,athlete
Alden_C._Coder,1909,athlete
Alden_Knipe,,athlete
Alden_Pasche,,athlete
Aldi_Henry,1972,athlete
Aldin_Ayo,1977,athlete
Aldo_Donelli,1907,athlete
Aldrech_Ramos,1988,athlete
Alec_Boswell_Timms,1872,athlete
Alejandra_Llaneza,1988,athlete
Alejandro_Bedoya,1987,athlete
Alejandro_Cañizares,1983,athlete
Alejandro_Covarrubias,1991,athlete
Alejandro_Salazar,,athlete
Aleksandar_Radojević,,athlete
Alen_Kozić,1976,athlete
Alena_Sharp,1981,athlete
Alessandro_Salvatore,1987,athlete
Alex_Adams,1935,athlete
Alex_Aggelakos,1994,athlete
Alex_Allan_(rugby_union),0029,athlete
Alex_Aragon,1979,athlete
Alex_Atty,1916,athlete
Alex_Bengard,1979,athlete
Alex_Cabagnot,1982,athlete
Alex_Caceres_(footballer),1987,athlete
Alex_Collins_(American_football),1994,athlete
Alex_Corbisiero,1988,athlete
Alex_Crisano,1976,athlete
Alex_Cuthbert,1990,athlete
Alex_Denman,,athlete
Alex_DesRoches,,athlete
Alex_Dunbar,1990,athlete
Alex_Ely,1938,athlete
Alex_Goode,1988,athlete
Alex_Gordon_(rugby_union),1991,athlete
Alex_Grendi,1987,athlete
Alex_Harlley,1992,athlete
Alex_Henery,1987,athlete
Alex_Hewit,1985,athlete
Alex_Karmo,1989,athlete
Alex_King_(rugby_union),,athlete
Alex_Liatsos,1980,athlete
Alex_Lincoln,1977,athlete
Alex_Lozowski,,athlete
Alex_Mafi,,athlete
Alex_Mallari,1987,athlete
Alex_Metzger_(footballer),,athlete
Alex_Nahigian,1919,athlete
Alex_Nuyles,1989,athlete
Alex_Petersen,1924,athlete
Alex_Pledger,,athlete
Alex_Porter,1980,athlete
Alex_Prugh,1984,athlete
Alex_Putrenko,1990,athlete
Alex_Renfroe,,athlete
Alex_Rokobaro,1989,athlete
Alex_Ross_(rugby_union),1905,athlete
Alex_Sandusky,1932,athlete
Alex_Scales,1978,athlete
Alex_Shaw_(basketball),1907,athlete
"Alex_Smith_(footballer,_born_1985)",1985,athlete
Alex_Smith_(lacrosse),1984,athlete
Alex_Tait_(rugby_union),1988,athlete
Alex_Toolis,0026,athlete
Alex_Trlica,1984,athlete
Alex_Tuch,1996,athlete
Alex_Weekes,1988,athlete
Alex_Weyand,1892,athlete
Alex_Wood_(American_football),1955,athlete
Alex_Woods_(soccer),1982,athlete
Alex_Wyllie,1944,athlete
Alex_Yunevich,1909,athlete
Alexander_Bondurant,1865,athlete
Alexander_Brown_Mackie,1894,athlete
Alexander_Durley,1937,athlete
Alexander_F._Bell,1915,athlete
Alexander_Ioannou,1988,athlete
Alexander_Jerrems,,athlete
Alexander_Kühl,1973,athlete
Alexander_Magleby,1978,athlete
Alexander_Norén,1982,athlete
Alexander_S._Lilley,1867,athlete
Alexander_Severance,,athlete
Alexander_Todd_(rugby_union),1873,athlete
Alexander_William_Pearson,1854,athlete
Alexandra_Carpenter,1994,athlete
Alexandra_Sahlen,1982,athlete
Alexandra_Salvador,,athlete
Alexandre_Picard-Hooper,1987,athlete
Alexandre_Rocha,1977,athlete
Alexis_Bwenge,1981,athlete
Alexis_Serna,,athlete
Aleš_Pařez,1981,athlete
Alf_McDonald,,athlete
Alfie_Almario,,athlete
Alfrancis_Chua,,athlete
Alfred_Allport,1867,athlete
Alfred_B._Miles,1888,athlete
Alfred_Barlow_(American_football),,athlete
Alfred_C._Werner,1917,athlete
Alfred_Cattell,1857,athlete
Alfred_Clunies-Ross,1851,athlete
Alfred_Davenport,1849,athlete
Alfred_E._Bull,1867,athlete
Alfred_Ellet_Hitchner,1882,athlete
Alfred_Fell,1878,athlete
Alfred_H._Conrad,1924,athlete
Alfred_J._Robertson,,athlete
Alfred_Jackson_(American_football),1955,athlete
Alfred_L._Buser,1888,athlete
Alfred_Mathews,1864,athlete
Alfred_McCoy_(American_football),1899,athlete
Alfred_St._George_Hamersley,1848,athlete
Alfred_W._Debo,,athlete
Alfred_W._Place,,athlete
Alfredo_Lalanne,1983,athlete
Alfredo_Ott,1983,athlete
Alger_H._Wood,,athlete
Alhaji_Mohammed,1981,athlete
Ali_Elsamni,,athlete
Ali_Farokhmanesh,1988,athlete
Ali_John_Utush,1977,athlete
Ali_Kazemaini,1963,athlete
Ali_Noorzad,,athlete
Ali_Sanei,1973,athlete
Ali_Traoré,,athlete
Ali_Williams,,athlete
Alice_Coddington,,athlete
Alice_Inoue,1964,athlete
